Institution,Country,AC,FC
"Fundação de Hematologia e Hemoterapia de Pernambuco (HEMOPE)",Brazil,1,0.0017921146953405
"Lutia i Puava Ae Mapu i Fagalele (LPAMF)",Samoa,1,0.0017921146953405
"University of Applied and Environmental Sciences (UDCA)",Colombia,1,0.001788908765653
"Faculdade Ciências Médicas de Minas Gerais (FCMMG)",Brazil,1,0.001788908765653
"Cancer Prevention and Research Institute (AIRC)",Italy,1,0.001788908765653
"University of Jos",Nigeria,1,0.001788908765653
"Nizam's Institute of Medical Sciences (NIMS)",India,1,0.001788908765653
"A.C.S Medical College and Hospital",India,1,0.001788908765653
"Kosin University","South Korea",1,0.001788908765653
"Saveh University of Medical Sciences (SAVEHUMS)",Iran,1,0.001788908765653
"Academy of Medical Science",Iraq,1,0.001788908765653
"Private University in the Principality of Liechtenstein (UFL)",Liechtenstein,1,0.0017825311942959
"Labormedizinisches Zentrum Dr Risch AG",Liechtenstein,1,0.0017825311942959
"Salisbury NHS Foundation Trust","United Kingdom (UK)",2,0.0017658751560165
"The Nationwide Network and Registry of Histo- and Cytopathology in the Netherlands Foundation (PALGA Foundation)",Netherlands,1,0.0017513134851138
"Hospital do Meixoeiro",Spain,1,0.0017513134851138
"Clinical Hospital Acibadem Sistina",Macedonia,1,0.0017513134851138
"Klinikum Mittelbaden gGmbH",Germany,1,0.0017513134851138
"Centre Hospitalier de La Rochelle",France,1,0.0017513134851138
"Western Hospital",Australia,1,0.0017513134851138
"Umm Al-Qura University","Saudi Arabia",1,0.0017513134851138
"The Wellington Hospital","New Zealand",1,0.0017513134851138
"Indian Institute of Public Health, Gandhinagar (IIPHG)",India,1,0.0017361111111111
"University General Hospital of Thessaloniki (AHEPA)",Greece,1,0.0017301038062284
"The Royal Horticultural Society (RHS)","United Kingdom (UK)",1,0.0017182130584192
"Károly Róbert University College (KRF)",Hungary,1,0.0017072129748186
"Seychelles Ministry of Health",Seychelles,1,0.0016891891891892
"Mediterranea Cardiocentro",Italy,1,0.0016891891891892
"Hospital Italiano de Buenos Aires",Argentina,2,0.0016643392585266
"Vadaskert Child and Adolescent Psychiatry Hospital",Hungary,1,0.0016474464579901
"Medical City Dallas Hospital","United States of America (USA)",1,0.0016474464579901
"Yonsei Yoo and Kim Mental Health Clinic","South Korea",1,0.0016474464579901
"Admiraal De Ruyter Ziekenhuis",Netherlands,1,0.0016474464579901
"Yonsei-nuri Mental Health Clinic","South Korea",1,0.0016474464579901
"Centrum Onkologii Instytut im. Marii Skłodowskiej-Curie",Poland,1,0.0016474464579901
"Vadaskert Child and Adolescent Psychiatry Hospital and Outpatient Clinic",Hungary,1,0.0016474464579901
"Rudolph Child Research Center","South Korea",1,0.0016474464579901
"Biopsychosocial Corporation",Austria,1,0.0016474464579901
"Yulius Mental Health Organisation",Netherlands,1,0.0016474464579901
"Yonsei Bom Clinic","South Korea",1,0.0016474464579901
"State Diagnostic and Counseling Center",Iceland,1,0.0016474464579901
"General Hospital Sismanoglio",Greece,1,0.0016474464579901
"French Clinical Research Infrastructure Network (F-CRIN)",France,1,0.0016420361247947
"Josephine Nefkens Institute (JNI)",Netherlands,1,0.0016399416909621
"Ambo University",Ethiopia,1,0.0016146393972013
"Bénin Clinical Research Institute (IRCB)",Benin,1,0.0016146393972013
"Agency for Health Technology Assessment and Tariff System (AOTMiT)",Poland,1,0.0015923566878981
"National Academy of Sciences of the Republic of Kyrgyzstan (NAN KR)",Kyrgyzstan,1,0.0015923566878981
"D.Y. Patil University",India,1,0.0015923566878981
"Orientale University of Naples",Italy,3,0.0015907405732631
"Colchester Hospital University NHS Foundation Trust","United Kingdom (UK)",1,0.0015748031496063
"City Hospitals Sunderland NHS Foundation Trust","United Kingdom (UK)",1,0.0015748031496063
"East and North Herts NHS Trust","United Kingdom (UK)",1,0.0015748031496063
"Warrington and Halton Hospitals NHS Foundation Trust","United Kingdom (UK)",1,0.0015748031496063
"Shanghai Industrial Technology Institute (SITI)",China,1,0.0014814814814815
"Institut National Polytechnique Félix Houphouët-Boigny (INP-HB)","Ivory Coast",1,0.0014749262536873
"Friedrich-Ebert-Krankenhaus Neumünster GmbH (FEK)",Germany,1,0.0014577259475219
"German Cancer Aid (DKH)",Germany,1,0.0014577259475219
"Bioplatforms Australia Ltd.",Australia,1,0.0014577259475219
"Barking, Havering and Redbridge University Hospitals NHS Trust (BHRUT)","United Kingdom (UK)",1,0.0014577259475219
"International Genomics Consortium (IGC)","United States of America (USA)",1,0.0014577259475219
"Australian Red Cross Blood Service",Australia,2,0.0014326675152269
"Sana'a University",Yemen,2,0.0014326675152269
"Dilla University",Ethiopia,2,0.0014326675152269
"Initiative for Financing Health and Human Development",India,2,0.0014326675152269
"Cook County Health and Hospitals System (CCHHS)","United States of America (USA)",2,0.0014326675152269
"Bioinsilico Technologies",India,2,0.0014326675152269
"Raffles Medical Group",Singapore,2,0.0014326675152269
"National Institute of Legal Medicine Mina Minovici (NILM)",Romania,2,0.0014326675152269
"Emergency Hospital of Saint Pantelimon",Romania,2,0.0014326675152269
"International Institute for Advanced Scientific Studies (IIASS)",Italy,1,0.0013736263736264
"Botanic Gardens and Parks Authority (BGPA)",Australia,1,0.0012886597938144
"Sørlandet Hospital HF",Norway,1,0.001207729468599
"G.H.G. Khalsa College",India,6,0.001175283476463
"USC-Office of Population Studies Foundation, Inc.",Philippines,1,0.0011467889908257
"AREA Science Park",Italy,1,0.0011467889908257
"Center for Advanced Medicine Dr. Abel Gonzalez (CMAAG)","Dominican Republic",1,0.0011261261261261
"Universidad Centroccidental Lisandro Alvarado (UCLA)",Venezuela,1,0.0011261261261261
"Hanoi University of Public Health (HUPH)",Vietnam,1,0.0011261261261261
"Jivandeep Hospital",India,1,0.0011261261261261
"North Karelian Center for Public Health",Finland,1,0.0011261261261261
"Japan Wildlife Research Center",Japan,1,0.0011261261261261
"West Kazakhstan Marat Ospanov State Medical University",Kazakhstan,1,0.0011261261261261
"China Ministry of Agriculture (MOA)",China,1,0.0011261261261261
"Chronic Diseases Research Center",Iran,1,0.0011261261261261
"Aldara Hospital and Medical Center","Saudi Arabia",1,0.0011261261261261
"Universidad Eugenio María de Hostos (UNIREMOS)","Dominican Republic",1,0.0011261261261261
"Medical University of Varna",Bulgaria,1,0.0011261261261261
"Diponegoro University",Indonesia,1,0.0011261261261261
"Canarian Health Service",Spain,1,0.0011261261261261
"Sitaram Bhartia Institute of Science and Research",India,1,0.0011261261261261
"Health Center San Agustín",Spain,1,0.0011261261261261
"Public Health Agency of Catalonia (ASPCAT)",Spain,1,0.0011261261261261
"Vietnam Ministry of Health",Vietnam,1,0.0011261261261261
"Women's Social And Health Studies Foundation",India,1,0.0011261261261261
"University Putra Malaysia (UPM)",Malaysia,1,0.0011261261261261
"Bach Mai Hospital",Vietnam,1,0.0011261261261261
"non-affiliated author contributions",Myanmar,1,0.0011261261261261
"Jordan Ministry of Health (MoH)",Jordan,1,0.0011261261261261
"Guangzhou No.12 Hospital",China,1,0.0011261261261261
"Ministry of Health, Population and Hospital Reform (MSPRH)",Algeria,1,0.0011261261261261
"Health Service of Murcia (SMS)",Spain,1,0.0011261261261261
"Associazione Calabrese di Epatologia (ACE)",Italy,1,0.0011261261261261
"Kingston Health Sciences Centre (KHSC)",Canada,1,0.0011261261261261
"Mauritius Ministry of Health and Quality of Life",Mauritius,1,0.0011261261261261
"Norrbotten County Council (NLL)",Sweden,1,0.0011261261261261
"Observatorio de Salud Pública de Santander",Colombia,1,0.0011261261261261
"National Statistical Office","Cape Verde",1,0.0011261261261261
"Research Centre for Prevention and Health (RCPH)",Denmark,1,0.0011261261261261
"Minas Gerais State Secretariat for Health",Brazil,1,0.0011261261261261
"Oulu Deaconess Institute (ODL)",Finland,1,0.0011261261261261
"Bombay Hospital and Medical Research Centre",India,1,0.0011261261261261
"Argentina Ministry of Health (MSAL)",Argentina,1,0.0011261261261261
"Cafam University Foundation (UNICAFAM)",Colombia,1,0.0011261261261261
"University of Science and Technology, Yemen (USTY)",Yemen,1,0.0011261261261261
"University College Copenhagen",Denmark,1,0.0011261261261261
"Centro de Salud Villanueva Norte",Spain,1,0.0011261261261261
"Sunder Lal Jain Hospital",India,1,0.0011261261261261
"Icesi University",Colombia,1,0.0011261261261261
"Eternal Heart Care Centre and Research Institute Pvt Ltd.",India,1,0.0011261261261261
"Joep Lange Institute",Netherlands,1,0.0011261261261261
"Ministry of Health and Medical Services","Solomon Islands",1,0.0011261261261261
"Extremadura Health Service (SES)",Spain,1,0.0011261261261261
"Catalan Department of Health (CatSalut)",Spain,1,0.0011261261261261
"The Eastern Mediterranean Public Health Network (EMPHNET)",Jordan,1,0.0011261261261261
"Universidade Estadual do Centro-Oeste (UNICENTRO)",Brazil,1,0.0011261261261261
"Lusophone University of Humanities and Technologies (ULHT)",Portugal,1,0.0011261261261261
"University of Medical Sciences Cienfuegos",Cuba,1,0.0011261261261261
"Center for Oral Health Services and Research, Mid-Norway (TkMidt)",Norway,1,0.0011261261261261
"Croatian National Institute of Public Health",Croatia,1,0.0011261261261261
"Hassan 1er University",Morocco,1,0.0011261261261261
"University of Lahore (UOL)",Pakistan,1,0.0010764262648009
"Srinivas Institute of Dental Sciences",India,1,0.0010764262648009
"Huntsworth plc","United Kingdom (UK)",1,0.0010764262648009
"Integrated Development Foundation Nepal (IDF)",Nepal,1,0.0010764262648009
"Centre for Regional Policy Research and Cooperation ""Studiorum"" (Studiorum)",Macedonia,1,0.0010764262648009
"Sebelas Maret University (UNS)",Indonesia,1,0.0010764262648009
"Manian Medical Centre",India,1,0.0010764262648009
"Utica College","United States of America (USA)",1,0.0010764262648009
"Golden Community",Nepal,1,0.0010764262648009
"Facultad Latinoamericana de Ciencias Sociales (FLACSO)",Argentina,1,0.0010764262648009
"Far-Western University (FWU)",Nepal,1,0.0010764262648009
"Father Muller Medical College, Mangalore (FMMC)",India,1,0.0010764262648009
"Soran University",Iraq,1,0.0010764262648009
"India Ministry of Health and Family Welfare",India,1,0.0010764262648009
"Olabisi Onabanjo University (OOU)",Nigeria,1,0.0010764262648009
"Tehran Psychiatric Institute (TPI)",Iran,1,0.0010764262648009
"Milad General Hospital",Iran,1,0.0010764262648009
"University of Aden",Yemen,1,0.0010764262648009
"Bank Melli Iran (BMI)",Iran,1,0.0010764262648009
"Sultan Zainal Abidin University (UniSZA)",Malaysia,1,0.0010764262648009
"Asthma Bhawan",India,1,0.0010764262648009
"Grant Government Medical College and Sir Jamshedjee Jeejeebhoy Group of Hospitals Mumbai (GGMCJJH Mumbai)",India,1,0.0010764262648009
"Tishk International University (ISHIK)",Iraq,1,0.0010764262648009
"Shaikh Khalifa Bin Zayed Al-Nahyan Medical and Dental College (SKZMDC)",Pakistan,1,0.0010764262648009
"Bangalore Baptist Hospital",India,1,0.0010764262648009
"Nevada Division of Public and Behavioral Health (DPBH)","United States of America (USA)",1,0.0010764262648009
"Kashan University of Medical Sciences and Health Services (KAUMS)",Iran,1,0.0010764262648009
"Jahrom University of Medical Sciences (JUMS)",Iran,1,0.0010764262648009
"Sant'Anna Hospital",Italy,1,0.0010764262648009
"Istanbul Arel University",Turkey,1,0.0010162601626016
"The EMMES Corporation","United States of America (USA)",1,0.00089605734767025
"non-affiliated author contributions",Iran,1,0.00089445438282648
"Gulu University",Uganda,1,0.00089445438282648
"Nepal Academy of Science and Technology (NAST)",Nepal,1,0.00089445438282648
"Dr. Tewelde Legesse Health Science College",Ethiopia,1,0.00089445438282648
"Agency of Preventive Medicine (AMP)",France,1,0.00089445438282648
"Advanced Technologies Research Group",Iran,1,0.00089445438282648
"Medichem S.A.",Spain,1,0.00089445438282648
"Health Technology Assessment Association (HTAA)",Russia,1,0.00089445438282648
"Dr. D.Y. Patil Vidyapeeth, Pune (DPU)",India,1,0.00089445438282648
"University of Energy and Natural Resources (UENR)",Ghana,1,0.00089445438282648
"Parc Sanitari Sant Joan de Déu",Spain,1,0.00089445438282648
"SEMA - USA","United States of America (USA)",1,0.00089445438282648
"Calvary Mater Newcastle",Australia,1,0.00087565674255692
"Centre Paul Strauss",France,1,0.00087565674255692
"Intesa Sanpaolo",Italy,1,0.00086805555555556
"Fondazione Cariplo",Italy,1,0.00086805555555556
"The Bascule",Netherlands,1,0.00082372322899506
"Global Institute of Integral Attention to the Neurodevelopment (IGAIN)",Spain,1,0.00082372322899506
"Steiermärkische Krankenanstalten- gesellschaft m.b.H. (KAGes)",Austria,1,0.00082372322899506
"GGZ Drenthe",Netherlands,1,0.00082372322899506
"Wuxi Mental Health Center",China,1,0.00082372322899506
"BBRZ Group",Austria,1,0.00082372322899506
"Suicide and School Mental Health Institute, Hallym University","South Korea",1,0.00082372322899506
"Research Institute of Industrial Economics (IFN)",Sweden,1,0.00076452599388379
"National Museum of Costa Rica","Costa Rica",1,0.00074404761904762
"Yozgat Bozok University",Turkey,4,0.00073945849177242
"Carlos Slim Health Institute",Mexico,1,0.00072886297376093
"Cureline, Inc.","United States of America (USA)",1,0.00072886297376093
"Praxisklinik am Johannisplatz (PKJ Johannisplatz)",Germany,1,0.00072886297376093
"Victorian Institute of Forensic Medicine (VIFM)",Australia,1,0.00072886297376093
"Indivumed GmbH",Germany,1,0.00072886297376093
"Penrose-St. Francis Health Services (PSF)","United States of America (USA)",1,0.00072886297376093
"Integrated Laboratory Services - Biotech, LLC (ILSbio)","United States of America (USA)",1,0.00072886297376093
"German Federal Ministry of Education and Research (BMBF)",Germany,1,0.00072886297376093
"St.-Antonius-Hospital Eschweiler",Germany,1,0.00072886297376093
"Prostate Cancer Canada (PCC)",Canada,1,0.00072886297376093
"Institutul Clinic Fundeni",Romania,1,0.00072886297376093
"Analytical Biological Services Inc. (ABS)","United States of America (USA)",1,0.00072886297376093
"Tays Central Hospital",Finland,1,0.00072886297376093
"Educational Commission for Foreign Medical Graduates (ECFMG)","United States of America (USA)",2,0.00071633375761345
"Blood Systems Research Institute (BSRI)","United States of America (USA)",1,0.00069767441860465
"IPPOX Foundation",Switzerland,1,0.00069767441860465
"Mymetics S.A.",Switzerland,1,0.00069767441860465
"Batavia Biosciences B.V.",Netherlands,1,0.00069767441860465
"South African National Blood Service (SANBS)","South Africa",1,0.00069767441860465
"Southern African Research and Innovation Management Association (SARIMA)","South Africa",1,0.00069767441860465
"TaiMed Biologics Inc.","United States of America (USA)",1,0.00069767441860465
"LabKey Corporation","United States of America (USA)",1,0.00069767441860465
"École Normale Supérieure de Rennes (ENS Rennes)",France,1,0.00063451776649746
"Western Sydney Local Health District (NWSLHD)",Australia,1,0.00058377116170461
"Westmead Breast Cancer Institute (BCI)",Australia,1,0.00058377116170461
"Centre Hospitalier d'Angoulême",France,1,0.00058377116170461
"Youthdale Treatment Centers",Canada,1,0.00054914881933004
HelpMeSee,"United States of America (USA)",1,0.00053821313240043
"Stamford University Bangladesh",Bangladesh,1,0.00053821313240043
"Universal Scientific Education and Research Network (USERN)",Iran,1,0.00053821313240043
"Jatiya Kabi Kazi Nazrul Islam University (JKKNIU)",Bangladesh,1,0.00053821313240043
"Taylor's University",Malaysia,1,0.00053821313240043
"Jacksonville State University (JSU)","United States of America (USA)",1,0.00053821313240043
